imdb_title_id,title,year,genre,duration,country,language,production_company,actors,description,avg_vote,votes,budget
tt0020122,La stella della fortuna,1929,Drama,100,USA,English,Fox Film Corporation,Janet Gaynor &  Charles Farrell &  Guinn 'Big Boy' Williams &  Paul Fix &  Hedwiga Reicher &  Gloria Grey &  Hector V. Sarno,Mary  a poor farm girl  meets Tim just as word comes that war has been declared. Tim enlists in the army and goes to the battlefields of Europe  where he is wounded and loses the use of his...,7.8,1144,
tt0020126,Madame X,1929,Drama,95,USA,English,Metro-Goldwyn-Mayer (MGM),Lewis Stone &  Ruth Chatterton &  Raymond Hackett &  Holmes Herbert &  Eugenie Besserer &  John P. Edington &  Mitchell Lewis &  Ullrich Haupt &  Sidney Toler &  Richard Carle &  Carroll Nye &  Claude King &  Chappell Dossett,A young lawyer unknowingly defends his mother who abandoned him when he was three.,6,431,
tt0020142,L'isola del peccato,1929,Drama,110,UK &  Isle Of Man,English,British International Pictures (BIP),Carl Brisson &  Malcolm Keen &  Anny Ondra &  Randle Ayrton &  Clare Greet,A fisherman and a rising young lawyer  who grew up as brothers  fall in love with the same girl.,6.2,2555,
tt0020143,La compagnia d'assalto,1929,Drama,111,USA,English &  French,Cosmopolitan Productions,Marion Davies &  George Baxter &  Lawrence Gray &  Cliff Edwards &  Benny Rubin &  Scott Kolk &  Robert Edeson &  Emile Chautard,During World War I  a young French woman struggles to choose between two suitors: a blind soldier to whom she is engaged and an American serviceman.,6.2,1148,
tt0020144,Marianne,1929,Drama,80,USA,English,Cosmopolitan Productions,Marion Davies &  Oscar Shaw &  Fred Solm &  Robert Ames &  Scott Kolk &  Emile Chautard &  Mack Swain &  Oscar Apfel,,5.6,385,
tt0020166,Rosa del Messico,1929,Drama,60,USA,English &  Spanish,Columbia Pictures,Barbara Stanwyck &  Sam Hardy &  William Janney &  Louis Natheaux &  Arthur Rankin &  Harry J. Vejar &  Louis King &  Julia Bejarano,A drama set in a border town gambling saloon. The owner falls in love with a promiscuous young girl. When she has an affair with another  he tosses her out of town. She gets revenge by marrying his younger brother.,5.7,151,
tt0020197,Il drago rosso,1929,Thriller,80,USA,English,Rowland V. Lee Productions,Warner Oland &  Neil Hamilton &  Jean Arthur &  O.P. Heggie &  William Austin &  Claude King &  Charles A. Stevenson &  Evelyn Selbie &  Noble Johnson,During the Boxer Rebellion in China during the early 20th century  in which a Chinese secret society attacked all westerners and anyone who associated with them  Dr. Fu Manchu's wife and ...,6.7,187,
tt0020198,L'isola misteriosa,1929,Adventure,95,USA,English,Metro-Goldwyn-Mayer (MGM),Lionel Barrymore &  Jacqueline Gadsdon &  Lloyd Hughes &  Montagu Love &  Harry Gribbon &  Snitz Edwards &  Gibson Gowland &  Dolores Brinkman &  Karl Dane,On a volcanic island near the kingdom of Hetvia rules Count Dakkar  a benevolent leader and scientist who has eliminated class distinction among the island's inhabitants. Dakkar  his ...,6.1,562,  1130000
tt0020210,Navy Blues,1929,Comedy,77,USA,English,Metro-Goldwyn-Mayer (MGM),William Haines &  Anita Page &  Karl Dane &  J.C. Nugent &  Edythe Chapman &  Wade Boteler &  Frankie Genardi,On shore leave  a young sailor meets and falls in love with a pretty young blonde. He goes home with her to meet her parents  but they don't approve of him at all. Their daughter takes ...,5.2,528,
tt0020217,Notti di New York,1929,Crime,82,USA,English,Joseph M. Schenck Productions,Norma Talmadge &  Gilbert Roland &  John Wray &  Lilyan Tashman &  Mary Doran &  Roscoe Karns,A chorus girl with marital woes is pursued by a gangster.,5.7,169,
tt0020230,La nuova Babilonia,1929,Drama,120,Soviet Union,Russian,Sovkino,David Gutman &  Yelena Kuzmina &  Andrei Kostrichkin &  Sofiya Magarill &  Arnold Arnold &  Sergey Gerasimov &  Yevgeni Chervyakov &  Pyotr Sobolevsky &  Yanina Zheymo &  Oleg Zhakov &  Vsevolod Pudovkin &  Lyudmila Semyonova &  A. Glushkova &  Emil Gal &  S. Gusev,In the beginning of the industrial revolution  the Paris Commune was established in 1871 against the rich and the powerful  and violently repressed by the army that remained faithful to a ...,7.3,726,
tt0020232,Oblomok imperii,1929,Drama,96,Soviet Union,Russian,Sovkino,Emil Gal &  Sergey Gerasimov &  Yakov Gudkin &  Ursula Krug &  Varvara Myasnikova &  Fyodor Nikitin &  Lyudmila Semyonova &  Valeri Solovtsov &  Vyacheslav Viskovsky,A story of a man who loses his memory during the First World War  regains it 10 years after the Russian Revolution and returns home to a new and alien St. Petersburg.,7.3,332,
tt0020238,On with the Show!,1929,Musical,104,USA,English &  French,Warner Bros.,Arthur Lake &  Betty Compson &  Joe E. Brown &  Sally O'Neil &  William Bakewell &  Louise Fazenda &  Sam Hardy &  Harry Gribbon &  Lee Moran &  Wheeler Oakman &  Madeline Fairbanks &  Marion Fairbanks &  Purnell Pratt &  Thomas Jefferson &  Ethel Waters,A musical advertised as the first 100% natural color  all-singing production. The plot concerns a wide-eyed former hatcheck girl who takes the place of a rebellious star.,5.8,259,  493000
